,First Name,Last Name,Bib,Gender Pos,Split Name,Time of Day,Distance,Hours,Minutes,Seconds,Milliseconds
225,Cody,Jordan,536,M20,Start,Sat 6:00:02 AM,0.0 mi,00,00,02,000
226,Cody,Jordan,536,M20,Antelope Mesa,Sat 6:48:11 AM,7.6 mi,00,48,11,159
227,Cody,Jordan,536,M20,Hidden Treasure,Sat 7:21:01 AM,12.8 mi,1,21,01,640
228,Cody,Jordan,536,M20,Bumble Bee,Sat 8:06:09 AM,19.2 mi,2,06,09,829
229,Cody,Jordan,536,M20,Gloriana Mine,Sat 8:41:18 AM,23.8 mi,2,41,18,769
230,Cody,Jordan,536,M20,Deep Canyon Ranch,Sat 9:52:09 AM,32.2 mi,3,52,09,918
231,Cody,Jordan,536,M20,Black Canyon City,Sat 10:40:26 AM,37.7 mi,4,40,26,419
232,Cody,Jordan,536,M20,Cottonwood Gulch,Sat 12:01:36 PM,45.3 mi,6,01,36,560
233,Cody,Jordan,536,M20,Table Mesa,Sat 12:44:46 PM,49.4 mi,6,44,46,349
234,Cody,Jordan,536,M20,Finish,Sat 2:39:27 PM,62.2 mi,8,39,27,000
235,Alex,Forte,366,M21,Start,Sat 6:00:02 AM,0.0 mi,00,00,02,930
236,Alex,Forte,366,M21,Antelope Mesa,Sat 6:47:40 AM,7.6 mi,00,47,40,539
237,Alex,Forte,366,M21,Hidden Treasure,Sat 7:20:25 AM,12.8 mi,1,20,25,628
238,Alex,Forte,366,M21,Bumble Bee,Sat 8:04:56 AM,19.2 mi,2,04,56,500
239,Alex,Forte,366,M21,Gloriana Mine,Sat 8:41:06 AM,23.8 mi,2,41,06,769
240,Alex,Forte,366,M21,Deep Canyon Ranch,Sat 9:51:20 AM,32.2 mi,3,51,20,010
241,Alex,Forte,366,M21,Black Canyon City,Sat 10:40:17 AM,37.7 mi,4,40,17,419
242,Alex,Forte,366,M21,Cottonwood Gulch,Sat 12:01:34 PM,45.3 mi,6,01,34,560
243,Alex,Forte,366,M21,Table Mesa,Sat 12:44:31 PM,49.4 mi,6,44,31,289
